Date,Close
3/8/2021 16:00:00,201.87
3/9/2021 16:00:00,225.09
3/10/2021 16:00:00,226.73
3/11/2021 16:00:00,241.72
3/12/2021 16:00:00,242.11
3/15/2021 16:00:00,251.23
3/16/2021 16:00:00,243.36
3/17/2021 16:00:00,246.47
3/18/2021 16:00:00,224.3
3/19/2021 16:00:00,224.84
3/22/2021 16:00:00,226.13
3/23/2021 16:00:00,223.2
3/24/2021 16:00:00,213.51
3/25/2021 16:00:00,208.47
3/26/2021 16:00:00,213.6
3/29/2021 16:00:00,207.18
3/30/2021 16:00:00,212.83
3/31/2021 16:00:00,227.05
4/1/2021 16:00:00,229.51
4/5/2021 16:00:00,229.95
4/6/2021 16:00:00,236.5
4/7/2021 16:00:00,245.12
4/8/2021 16:00:00,258.37
4/9/2021 16:00:00,261.65
4/12/2021 16:00:00,265.2
4/13/2021 16:00:00,273.23
4/14/2021 16:00:00,258.4
4/15/2021 16:00:00,263.08
4/16/2021 16:00:00,256.1
4/19/2021 16:00:00,245.33
4/20/2021 16:00:00,245.5
4/21/2021 16:00:00,245.25
4/22/2021 16:00:00,245.11
4/23/2021 16:00:00,246.43
4/26/2021 16:00:00,255.77
4/27/2021 16:00:00,253.79
4/28/2021 16:00:00,254.2
4/29/2021 16:00:00,247.76
4/30/2021 16:00:00,244.82
5/3/2021 16:00:00,243.68
5/4/2021 16:00:00,231.19
5/5/2021 16:00:00,231.87
5/6/2021 16:00:00,223.96
5/7/2021 16:00:00,233.35
5/10/2021 16:00:00,216.43
5/11/2021 16:00:00,220.65
5/12/2021 16:00:00,206.67
5/13/2021 16:00:00,197.13
5/14/2021 16:00:00,207.85
5/17/2021 16:00:00,202.92
5/18/2021 16:00:00,203.16
5/19/2021 16:00:00,200.11
5/20/2021 16:00:00,204.91
5/21/2021 16:00:00,200.01
5/24/2021 16:00:00,210.95
5/25/2021 16:00:00,216.2
5/26/2021 16:00:00,222.34
5/27/2021 16:00:00,220.9
5/28/2021 16:00:00,222.52
6/1/2021 16:00:00,221.95
6/2/2021 16:00:00,220.41
6/3/2021 16:00:00,211.43
6/4/2021 16:00:00,213.69
6/7/2021 16:00:00,216.95
6/8/2021 16:00:00,214.12
6/9/2021 16:00:00,210.21
6/10/2021 16:00:00,217.14
6/11/2021 16:00:00,219.34
6/14/2021 16:00:00,230.95
6/15/2021 16:00:00,227.75
6/16/2021 16:00:00,225.11
6/17/2021 16:00:00,236.13
6/18/2021 16:00:00,237.05
6/21/2021 16:00:00,233.89
6/22/2021 16:00:00,235.97
6/23/2021 16:00:00,238.7
6/24/2021 16:00:00,244.15
6/25/2021 16:00:00,239.94
6/28/2021 16:00:00,246.6
6/29/2021 16:00:00,248.87
6/30/2021 16:00:00,243.8
7/1/2021 16:00:00,241.85
7/2/2021 16:00:00,241.08
7/6/2021 16:00:00,246.7
7/7/2021 16:00:00,244.64
7/8/2021 16:00:00,235.9
7/9/2021 16:00:00,241.89
7/12/2021 16:00:00,243.35
7/13/2021 16:00:00,241.43
7/14/2021 16:00:00,239
7/15/2021 16:00:00,235.16
7/16/2021 16:00:00,237.52
7/19/2021 16:00:00,233.69
7/20/2021 16:00:00,246.47
7/21/2021 16:00:00,257.25
7/22/2021 16:00:00,260.59
7/23/2021 16:00:00,264
7/26/2021 16:00:00,261.99
7/27/2021 16:00:00,251.73
7/28/2021 16:00:00,258.61
7/29/2021 16:00:00,255.28
7/30/2021 16:00:00,247.26
8/2/2021 16:00:00,272.38
8/3/2021 16:00:00,269.49
8/4/2021 16:00:00,266.42
8/5/2021 16:00:00,281.81
8/6/2021 16:00:00,275.1
8/9/2021 16:00:00,279.73
8/10/2021 16:00:00,273.08
8/11/2021 16:00:00,271.09
8/12/2021 16:00:00,268.59
8/13/2021 16:00:00,267.88
8/16/2021 16:00:00,263.4
8/17/2021 16:00:00,260.88
8/18/2021 16:00:00,259.66
8/19/2021 16:00:00,257.35
8/20/2021 16:00:00,263.05
8/23/2021 16:00:00,270.44
8/24/2021 16:00:00,270.17
8/25/2021 16:00:00,267.57
8/26/2021 16:00:00,262.13
8/27/2021 16:00:00,268.01
8/30/2021 16:00:00,271.92
8/31/2021 16:00:00,268.07
9/1/2021 16:00:00,268.25
9/2/2021 16:00:00,265.94
9/3/2021 16:00:00,269.74
9/7/2021 16:00:00,265.83
9/8/2021 16:00:00,254.72
9/9/2021 16:00:00,251.54
9/10/2021 16:00:00,247.9
9/13/2021 16:00:00,246.68
9/14/2021 16:00:00,247.05
9/15/2021 16:00:00,248.8
9/16/2021 16:00:00,255.09
9/17/2021 16:00:00,255.79
9/20/2021 16:00:00,250.23
9/21/2021 16:00:00,251.3
9/22/2021 16:00:00,261.07
9/23/2021 16:00:00,266.72
9/24/2021 16:00:00,262.5
9/27/2021 16:00:00,258.11
9/28/2021 16:00:00,242.7
9/29/2021 16:00:00,236.04
9/30/2021 16:00:00,239.84
10/1/2021 16:00:00,239.29
10/4/2021 16:00:00,226.25
10/5/2021 16:00:00,235.98
10/6/2021 16:00:00,239.12
10/7/2021 16:00:00,249.16
10/8/2021 16:00:00,238.49
10/11/2021 16:00:00,232.33
10/12/2021 16:00:00,237.41
10/13/2021 16:00:00,242.73
10/14/2021 16:00:00,247.41
10/15/2021 16:00:00,249
10/18/2021 16:00:00,252.2
10/19/2021 16:00:00,254.41
10/20/2021 16:00:00,255.35
10/21/2021 16:00:00,265.08
10/22/2021 16:00:00,253.06
10/25/2021 16:00:00,262
10/26/2021 16:00:00,263.39
10/27/2021 16:00:00,253.02
10/28/2021 16:00:00,261.33
10/29/2021 16:00:00,254.5
11/1/2021 16:00:00,255.04
11/2/2021 16:00:00,249.01
11/3/2021 16:00:00,252.48
11/4/2021 16:00:00,247.46
11/5/2021 16:00:00,237.38
11/8/2021 16:00:00,236.77
11/9/2021 16:00:00,230.78
11/10/2021 16:00:00,227.21
11/11/2021 16:00:00,226.51
11/12/2021 16:00:00,227.3
11/15/2021 16:00:00,233.02
11/16/2021 16:00:00,238.47
11/17/2021 16:00:00,231.85
11/18/2021 16:00:00,230.35
11/19/2021 16:00:00,225.14
11/22/2021 16:00:00,211.31
11/23/2021 16:00:00,210.55
11/24/2021 16:00:00,215.65
11/26/2021 13:00:00,212.08
11/29/2021 16:00:00,212.87
11/30/2021 16:00:00,208.33
12/1/2021 16:00:00,194.5
12/2/2021 16:00:00,192.15
12/3/2021 16:00:00,181.31
12/6/2021 16:00:00,179.72
12/7/2021 16:00:00,189.51
12/8/2021 16:00:00,194.78
12/9/2021 16:00:00,186.75
12/10/2021 16:00:00,181.32
12/13/2021 16:00:00,175.44
12/14/2021 16:00:00,170.72
12/15/2021 16:00:00,173.8
12/16/2021 16:00:00,165.88
12/17/2021 16:00:00,167.06
12/20/2021 16:00:00,158.3
12/21/2021 16:00:00,170.47
12/22/2021 16:00:00,167.38
12/23/2021 16:00:00,167.71
12/27/2021 16:00:00,168.48
12/28/2021 16:00:00,163.67
12/29/2021 16:00:00,161.85
12/30/2021 16:00:00,165.34
12/31/2021 16:00:00,161.51
1/3/2022 16:00:00,164.03
1/4/2022 16:00:00,156.33
1/5/2022 16:00:00,143.49
1/6/2022 16:00:00,144.66
1/7/2022 16:00:00,141.54
1/10/2022 16:00:00,144.48
1/11/2022 16:00:00,148.43
1/12/2022 16:00:00,145.47
